Day/Date,Time,Event,Count,Notes,Location,Reception Notes
9/10/23,3pm,Celliola,149,,Bridges Hall of Music,n/a
9/17/23,3pm,Fête musicale ,140,,Bridges Hall of Music,n/a
9/24/22,3pm,Cornucopia ,185,,Bridges Hall of Music,n/a
9/30/23,8pm,Lee Beethoven IV (Chalifour),293,,Bridges Hall of Music,n/a
10/5/23,8pm,Orchestra,265,,Bridges Hall of Music,n/a
10/8/23,3pm,Orchestra,238,,Bridges Hall of Music,n/a
10/11/23,7:30pm,Student Recital,9,,Lyman Hall,n/a
10/20/23,8pm,Lee & deMaine,209,,Lyman Hall,
10/22/23,3pm,Artifex Consort,172,,Bridges Hall of Music,n/a
10/28/23,8pm,Lee Beethoven V (Gearhart),167,,Bridges Hall of Music,n/a
10/27/23,4pm,Student Recital,59,,Lyman Hall,n/a
10/29/23,3pm,Peterson,169,,Bridges Hall of Music,n/a
11/4/23,8pm,Quartet for the End of Time,133,,Bridges Hall of Music,n/a
11/10/23,8pm,Band,182,,Bridges Hall of Music,n/a
11/12/23,3pm,Band,189,,Bridges Hall of Music,n/a
11/14/23,4:30,Jazz,250,plus standing in lobby,Lyman Hall,n/a
11/15/23,7:30pm,Student Recital,16,,Lyman Hall,n/a
10/20/23,12:15pm,Young & Chang - FNC,102,,Lyman Hall,n/a
11/17/23,8pm,Orchestra,257,,Bridges Hall of Music,n/a
11/19/23,3pm,Orchestra,337,,Bridges Hall of Music,n/a
11/27/23,8pm,West African,147,,Lyman Hall,n/a
12/1/23,8pm,PC Choir,280,,Bridges Hall of Music,n/a
12/3/23,3pm,PC Choir,336,,Bridges Hall of Music,n/a
12/4/23,8pm,Gamelan,169,,Bridges Hall of Music,n/a
12/5/23,7pm,Student Recital,?,,Lyman Hall,n/a
12/6/23,7pm,Student Recital,41,,Lyman Hall,n/a
,,,,,,
Day/Date,Time,Event,Count,Notes,Location,Reception Notes
1/27/24,8pm,Ray-Kallay duo,105,,Bridges Hall of Music,n/a
2/2/24,8pm,Ussachevsky,86,,Lyman Hall,n/a
2/3/24,8pm,Ussachevsky,83,15 for afternoon lecture/demo,Lyman Hall,n/a
2/10/24,8pm,Opera Prima,136,,Bridges Hall of Music,n/a
2/10/24,8pm,Lee Beethoven VI (Bahn),132,,Bridges Hall of Music,n/a
2/14/24,8pm,Student Recital,22? Or 40?,,Lyman Hall,n/a
2/16/24,12:15pm,Cornucopia,108,Friday Noon Concert,Lyman Hall,n/a
2/23/24,8pm,Orchestra & Choir,477,Beethoven 9,Bridges Hall of Music,n/a
2/25/24,3pm,Orchestra & Choir,550,Beethoven 9,Bridges Hall of Music,n/a
3/1/24,4pm,Student Recital,34,,Lyman Hall,n/a
3/2/24,8pm,Gamelan Merdu Kumala,124,,Bridges Hall of Music,n/a
3/3/24,3pm,Artifex & PRISM,165,,Bridges Hall of Music,n/a
3/22/24,8pm,Wm Peterson,153,,Bridges Hall of Music,n/a
3/5/24,4:30pm,Jazz,225,,Lyman Hall,n/a
3/24/24,3pm,Fête musicale ,152,,Bridges Hall of Music,n/a
3/30/24,8pm,Givens,106,,Bridges Hall of Music,n/a
3/30/24,4pm,M. Thacher-Sr. Project,10,,Lyman Hall,"YES, Sr. Reception - lots of food leftover"
4/5/24,2pm,Student Recital,50,,Lyman Hall,n/a
4/7/24,3pm,Mojave Trio,168,,Bridges Hall of Music,n/a
4/12/24,8pm,Orchestra & Choir,234,,Bridges Hall of Music,n/a
4/13/24,7:47,Piano Ensemble/Lee Studio,67,,Lyman Hall,n/a
4/14/24,3pm,Orchestra & Choir,345,,Bridges Hall of Music,n/a
4/17/24,3:30pm,E. Lee-Sr. Recital,43,,Lyman Hall,none. A non music major
4/19/24,8pm,Band,140,,Bridges Hall of Music,n/a
4/20/24,8pm,Manzanita Quartet,89,,Bridges Hall of Music,n/a
4/21/24,3pm,Band,149,,Bridges Hall of Music,n/a
4/22/24,8pm,Afro-Cuban,106,,Lyman Hall,n/a
4/25/24,8pm,Glee Club,202,,Bridges Hall of Music,n/a
4/26/24,afternoon,Alumni Pianos,not avail.,Alumni Weekend,Lyman Hall,n/a
4/26/24,8pm,Jazz Ensemble,283,Alumni Weekend,Bridges Hall of Music,n/a
4/27/24,1:30pm,Glee Club,365,Alumni Weekend,Bridges Hall of Music,"Outdoors, a bit of food leftover"
4/29/24,8pm,Gamelan,174,,Bridges Hall of Music,n/a
4/30/24,7pm,Student Recital,44,,Lyman Hall,n/a
5/1/24,7pm,Student Recital,40,,Lyman Hall,n/a
,,,,,,
Glee Tour:,,,,,,
,5/15 - 7:30,"St. John's,Berkeley",130,,,
,5/16 - 7:30,"1st Palo Alto, Palo Alto",140,,,
,5/18 - 8:00,"Rose City Park, Portland",82,,,
,5/20 - 7:30,"St. Stephen's, Seattle",105,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
