Date,Time,Event,Count,Notes,Location
Fri. Feb. 4,8:00 PM,Ussachevsky - Fri,100,,Lyman Hall
Sat. Feb. 5,4:00 PM,Ussachevsky - Sat Lecture,70,,Lyman Hall
Sat. Feb. 5,8:00 PM,Ussachevsky - Sat,130,,Lyman Hall
Sat. Feb. 12,8:00 PM,Chinyakara,128,,Little Bridges
Sun. Feb. 13,5:00 PM,Schoenberg lecture,32,,Lyman Hall
Sun. Feb. 13,7:00 PM,Blankenburg/Formalist Stg Qtet,79,,Little Bridges
Sat. Feb. 19,8:00 PM,Kohn + Kohn,309,Family Wkend,Little Bridges
Sun. Feb. 20,3:00 PM,Lytle & Lee,130,Family Wkend,Little Bridges
Fri. Feb. 25,8:00 PM,Orchestra,226,rainy,Little Bridges
Sun. Feb. 27,3:00 PM,Orchestra,263,Academy Awards,Little Bridges
Sun. Mar 6,3:00 PM,East Meets West - Lee,203,,Little Bridges
Sat. Mar 26,8:00 PM,Sayles Sr. Recital,104,,Little Bridges
Sun. Mar 27,3:00 PM,Peterson,Cancelled,,Little Bridges
Fr. April 1,8:00 PM,Nitzan & Henderson Jr. Recital,??,,Lyman Hall
Sat. April 2,8:00 PM,McIntosh & Blankenburg,87,,Little Bridges
Sun. April 3,3:00 PM,Humphrey Sr. Recital,77,,Little Bridges
Fri. April 8,8:00 PM,LA Opera Young Artists,131,,Lyman Hall
Fri. April 15,8:00 PM,Verdi Requiem,444,,Little Bridges
Sat. April 16,8:00 PM,Luo Sr. Recital,60,,Lyman Hall
Sun. April 17,3:00 PM,Verdi Requiem,541,,Little Bridges
Wed. April 20,8:15 PM,Student Recital,,,Lyman Hall
Fri. April 22,8:00 PM,"Cello, Piano & Marimba",86,,Little Bridges
Sat. April 23,8:00 PM,Nguyen / Prunty Sr. Recital,80,,Lyman Hall
Mon. April 25,8:15 PM,Afro-Cuban,125,,Lyman Hall
Tues. April 26,4:30 PM,Jazz Ens.,50,,Lyman Hall
Tues. April 26,8:30 PM,Cello Ensemble,140,ran out of programs!`,Lyman Hall
Wed. April 27,7:00 PM,Mbira Ensemble,78,,Lyman Hall
Thurs. April 28,8:00 PM,Glee Club,128,,Little Bridges
Sat. April 30,11:15 AM,Band,261,,Little Bridges
Sat. April 30,1:30 PM,Glee Club,378,,Little Bridges
Sun. May 1,8:00 PM,Band,85,,Little Bridges
Mon. May 2,8:00 PM,Gamelan,152,,Little Bridges
Tues. May 3,7:00 PM,Student Recital,,,Lyman Hall
Wed. May 4,7:00 PM,Student Recital,,,Lyman Hall
