Date,Time,Event,Count,Notes,Location
Sun Sept 19,3:00 PM,Celliola,167,ran out of programs (200 0rdered),Little Bridges
Sat. Sept. 25,4:00 PM,D. Alexander Memorial,306,,Little Bridges
Sun. Sept 26,3:00 PM,Cornucopia,135,107º outside,Little Bridges
Sat. Oct 2,8:00 PM,G. Lee,209,,Little Bridges
Sun. Oct 3,3:00 PM,"Pelev, Ko, Ashcraft",154,time confusion w/8pm noted CUC cal,Little Bridges
Sat. Oct. 9,8:00 PM,PC Orch w/J. Sanders,328,,Little Bridges
Sun. Oct 10,3:00 PM,PC Orch w/J. Sanders,231,time confusion w/8pm noted CUC cal,Little Bridges
Tues. Oct. 12 ,8:00 PM,Anonymous 4,415,count approx. due to early rush,Little Bridges
Wed. Oct 27,8:15 PM,Student Recital,60,approx. count,Lyman Hall
Sat. Oct. 30,8:00 PM,"Hogle Brown, Graff, Kirchner",154,ran out of programs (150 0rdered),Little Bridges
Sun. Oct 31,3:00 PM,"Beck, Lee, Kohn",110,ran out of programs (100 0rdered),Little Bridges
Mon. Nov. 1,4:00 PM,Çudamani L/Demo,45,,Lyman Hall
Fri. Nov. 5,8:00 PM,Bacon Jr. Recital,50,,Lyman Hall
Sun. Nov. 7,3:00 PM,Parmentier,195,ran out of programs (150 0rdered),Little Bridges
Fri. Nov. 12,7:00 PM,Los Pleneros,--,not a part of our series,Smith Campus Center
Sat. Nov. 13,8:00 PM,Wright/Moss,88,,Little Bridges
Fri. Nov. 19,8:00 PM,PC Band,102,,Little Bridges
Sun. Nov. 21,3:00 PM,PC Band,187,,Little Bridges
Mon. Nov.. 29,8:00 PM,Afro-Cuban Drumming Ens,104,,Lyman Hall
Fri. Dec. 3,8:00 PM,PC Choir,275,,Little Bridges
Sat. Dec. 4,8:00 PM,PC Orchestra,no count,,Garrison
Sun. Dec. 5,3:00 PM,PC Choir,308,,Little Bridges
Sun. Dec. 5,8:00 PM,PC Orchestra,125~,rainy - est. count,Garrison
Mon. Dec. 6,8:00 PM,PC Gamelan,105,,Little Bridges
Tues. Dec. 7,7:00 PM,Student Recital,no count,,
Wed. Dec. 8,7:00 PM,Student Recital,no count,,
