Date,Time,Event,Count,Notes,Location
9/11/22,3pm,Celliola,132,,Bridges Hall of Music
9/18/22,3pm,Fête musicale ,97,,Bridges Hall of Music
9/24/22,8pm,Manzanita,155,,Bridges Hall of Music
10/2/22,3pm,Lee & Friends,176,,Bridges Hall of Music
10/7/22,8pm,Orchestra,223,,Bridges Hall of Music
10/9/22,3pm,Orchestra,244,,Bridges Hall of Music
10/12/22,7:30pm,Student Recital,--,cancelled-lack of student apps,Lyman Hall
10/19/22,4:30pm,Adean Ayamara Band,54,in conjunction w/Oldenborg,Lyman Hall
10/21/22,8pm,Givens & Cheng,94,,Bridges Hall of Music
10/23/22,3pm,Ciaramella,179,,Bridges Hall of Music
10/28/22,7:30pm,Student Recital,39,,Lyman Hall
10/30/22,3pm,Peterson,133,,Bridges Hall of Music
11/4/22,4pm,Hoseth-Sr. Project,75,,Lyman Hall
11/5/22,8pm,Larget-Caplan,172,,Bridges Hall of Music
11/11/22,8pm,Band,107,,Bridges Hall of Music
11/13/22,3pm,Band,148,,Bridges Hall of Music
11/15/22,4:30,Jazz,251,,Lyman Hall
11/16/22,7:30pm,Student Recital,54,,Lyman Hall
11/17/22,12:15pm,Cornucopia - FNC,99,,Lyman Hall
11/18/22,8pm,Orchestra,189,,Bridges Hall of Music
11/20/22,3pm,Orchestra,244,,Bridges Hall of Music
11/28/22,8pm,West African,166,,Lyman Hall
12/2/22,8pm,PC Choir,222,,Bridges Hall of Music
12/4/22,3pm,PC Choir,290,,Bridges Hall of Music
12/5/22,8pm,Gamelan,155,,Bridges Hall of Music
12/6/22,7pm,Student Recital,34,,Lyman Hall
12/7/22,7pm,Student Recital,40,,Lyman Hall
