Date,Time,Event,Count,Notes,Location
9/19/21,3pm,Celliola,CANCELED,COVID protocols,Bridges Hall of Music
9/25/21,8pm,Plucked on Bach-J. Rockwell,250,,Bridges Hall of Music
10/2/21,8pm,Genevieve Lee,147,,Bridges Hall of Music
10/8/21,8pm,PCO,286,,Bridges Auditorium
10/9/21,8pm,Sr. Lecture-Recital - S. Smith,57,,Lyman Hall
10/10/21,3pm ,PCO,252,,Bridges Auditorium
10/13/21,7:30pm,Student Recital,56,,Lyman Hall
10/29/19,4pm,Student Recital,42,,Lyman Hall
10/30/21,12-3pm,Fête musicale ,100,,Bridges Hall of Music
11/3/21,8:15pm,Student Recital,23,,Lyman Hall
11/5/21,8pm,Sr. Recital - J. Szulc-Donnell,50,,Lyman Hall
11/6/21,8pm,Sr. Recital - A Zhao,Postponed,,Bridges Hall of Music
11/7/21,3pm,Sr. Recital - Sipowicz,115,,Lyman Hall
11/12/21,8pm,Band,150,est.,Bridges Hall of Music front patio
11/14/21,3pm,Band,125,est.,Bridges Hall of Music front patio
11/13/21,3pm,Jazz,299,est.,Sontag Greek Theatre
11/17/21,7:30pm,Student Recital,34,,Lyman Hall
11/19/21,8pm,PCO,238,,Bridges Hall of Music
11/20/21,,Sr. Lecture-Recital - K. Naehu-Rmos,54,,Lyman Hall
11/21/21,3pm,PCO,239,,Bridges Hall of Music
11/29/21,8pm,West African,148,,Bridges Hall of Music
12/3/21,8pm,PCC,151,TICKETED-seating limited to balcony only,Bridges Hall of Music
12/5/21,3pm,PCC,170,TICKETED-seating limited to balcony only,Bridges Hall of Music
12/6/21,8pm,Gamelan,115,,Bridges Hall of Music
12/7/21,7pm,Student Recital,52,,Lyman Hall
12/8/21,7pm,Student Recital,61,,Lyman Hall
