Date,Time,Event,Count,Notes,Location
9/4/18,11:00 AM,Convocation,767,,Little Bridges
9/15/19,3pm,Celliola,215,,Little Bridges
9/29/19,3pm,Jeng and Dai (violin),181,,Little Bridges
10/2/19,4:15pm,Pakaraguian KE,132,,Lyman Hall
10/3/19,4:15pm,Althea Waites,65,,Lyman Hall
10/5/19,8pm,Lee Recital,cancelled,,Little Bridges
10/11/19,8pm,PCO,293,,Little Bridges
10/13/19,3pm ,PCO,349,,Little Bridges
10/16/19,8:15pm,Student Recital,27,,Lyman Hall
10/25/19,8pm,Dubon Sr. Recital,63,,Lyman Hall
10/26/19,8pm,Vox Luminis,326,,Little Bridges
10/30/19,8:15pm,Student Recital,51,,Lyman Hall
11/1/19,8pm,Lee/Brightwork,117,,Little Bridges
11/3/19,3pm,Kleinecke,125,,Little Bridges
11/8/19,4pm,Student Recital,50,,Lyman Hall
11/9/19,8pm,Sr. Recital - Betanzos,85,,Little Bridges
11/10/19,3pm,Kohn/Rudich,125,,Little Bridges
11/15/19,8pm,Band,163,,Little Bridges
11/16/19,8pm,Sr. Recital - Brown,100,,Lyman Hall
11/17/19,3pm,Band,172,,Little Bridges
11/19/19,4:30pm,Jazz,194,,Lyman Hall
11/24/19,8pm,PCO,199,,Little Bridges
11/26/19,3pm,PCO,345,,Little Bridges
12/2/19,8pm,West African,211,,Lyman Hall
12/4/19,7pm,Student Recital,61,,Lyman Hall
12/6/19,8pm,PCC,168,,Little Bridges
12/8/19,3pm,PCC,244,,Little Bridges
12/9/19,8pm,Gamelan,160,,Little Bridges
12/10/19,7pm,Student Recital,36,,Lyman Hall
12/11/19,7pm,Student Recital,32,,Lyman Hall
