Date,Event,Count,Notes,Location
Feb.  6,Ussachevsky,150,,Lyman Hall
Feb. 12,Bluegrass,425,Family Weekend,Little Bridges
Feb. 13,Kohn & Kohn,269,Family Weekend,Little Bridges
Feb. 19,Ming Tsu,81,Friday/Cold & Rainy,Little Bridges
Feb. 21,Todor Pelev,173,,Little Bridges
Feb. 24,Student Recital,75,,Lyman Hall
Feb. 26,Lytle & Lee,104,,Little Bridges
Feb. 28,Lebow & Blankenburg,160,,Little Bridges
Mar. 6,Orchestra,190,rainy & cold,Little Bridges
Mar. 7,Orchestra,132,Academy Awards night,Little Bridges
Mar. 28,Organ - Peterson,284,,Little Bridges
Mar. 31,Ognibene & ,80,late org & lightly publicized @ 7pm,Little Bridges
Ap.2,Senior - Kim,158,,Little Bridges
Ap. 7,Student Recital,70,LONG,Lyman Hall
Ap. 9,Los Pleneros de la 21,0,cancelled,
Ap. 10,Senior - Welds,100,,Lyman Hall
Ap. 18,Senior - Preston,100,,Lyman Hall
Ap. 23,Orch & Choir,435,,Little Bridges
Ap. 25,Orch & Choir,455,,Little Bridges
Ap. 26,Afro-Cuban,100,,Lyman Hall
Ap. 27,Jazz Ens.,0,cancelled,
Ap. 29,Glee Club,230,,Little Bridges
1-May,Glee Club,371,alumni weekend,Little Bridges
1-May,Band,301,alumni weekend,Little Bridges
2-May,Band,87,,Little Bridges
3-May,Gamelan,248,ran out of programs,Little Bridges
4-May,Student Recital,,,Lyman Hall
5-May,Student Recital,,,Lyman Hall
,,,,
,,,,
OTHER:,,,,
2-May,Memorial Service,90,Alumni Weekend,Little Bridges
