Date,Time,Event,Count,Notes,Location
9/10/23,3pm,Celliola,149,,Bridges Hall of Music
9/17/23,3pm,Fête musicale ,140,,Bridges Hall of Music
9/24/22,3pm,Cornucopia ,185,,Bridges Hall of Music
9/30/23,8pm,Lee Beethoven IV (Chalifour),293,,Bridges Hall of Music
10/5/23,8pm,Orchestra,265,,Bridges Hall of Music
10/8/23,3pm,Orchestra,238,,Bridges Hall of Music
10/11/23,7:30pm,Student Recital,9,,Lyman Hall
10/20/23,8pm,Lee & deMaine,209,,Lyman Hall
10/22/23,3pm,Artifex Consort,172,,Bridges Hall of Music
10/28/23,8pm,Lee Beethoven V (Gearhart),167,,Bridges Hall of Music
10/27/23,4pm,Student Recital,59,,Lyman Hall
10/29/23,3pm,Peterson,169,,Bridges Hall of Music
11/4/23,8pm,Quartet for the End of Time,133,,Bridges Hall of Music
11/10/23,8pm,Band,182,,Bridges Hall of Music
11/12/23,3pm,Band,189,,Bridges Hall of Music
11/14/23,4:30,Jazz,250,plus standing in lobby,Lyman Hall
11/15/23,7:30pm,Student Recital,16,,Lyman Hall
10/20/23,12:15pm,Young & Chang - FNC,102,,Lyman Hall
11/17/23,8pm,Orchestra,257,,Bridges Hall of Music
11/19/23,3pm,Orchestra,337,,Bridges Hall of Music
11/27/23,8pm,West African,147,,Lyman Hall
12/1/23,8pm,PC Choir,280,,Bridges Hall of Music
12/3/23,3pm,PC Choir,336,,Bridges Hall of Music
12/4/23,8pm,Gamelan,169,,Bridges Hall of Music
12/5/23,7pm,Student Recital,?,,Lyman Hall
12/6/23,7pm,Student Recital,41,,Lyman Hall
