Date,Time,Event,Count,Notes,Location
Sun. 9-15,3pm,Celliola,125,,Little Bridges
Sat. 9-21,8pm,Lee - solo,225,,Little Bridges
Sun. 9-29,3pm,"D. Cleveland, guest organist",142,(40@reception),Little Bridges
Sat. Oct. 5,8pm,Garth Newel Quartet,129,c. 45@reception,Little Bridges
Sat. Oct. 12,8pm,Orchestra w/G. Lytle,294,,Little Bridges
Sun. Oct. 13,3pm,Orchestra w/G. Lytle,261,555,Little Bridges
Fri. Oct. 25,8pm,Baroque Masters Kim & Lee,189,c. 52 @ reception,Little Bridges
Sun. Oct. 27,8pm,Millennium Consort Singers,212 + PCC 65,c. 100 @ reception,Little Bridges
Wed. Oct 30,8:15pm,Student Recital,71,,Lyman Hall
Sat. Nov. 2,8pm,Middle East Ensemble,252,,Little Bridges
Fri. Nov. 22,8pm,Band,80,,Little Bridges
Sat. Nov. 23,8pm,Jazz Ens,220,,Lyman Hall
Sun. Nov. 27,3pm,Band,190,,Little Bridges
Mon. Dec. 2,8pm,Afro-Cuban Drumming,75,,Lyman Hall
Wed. Dec. 4,8pm,Sea Chanty,138,,Lyman Hall
Fri. Dec. 6,8pm,PCC,280,,Little Bridges
Sun. Dec. 8,3pm,PCC,234,,Little Bridges
Mon. Dec. 9,8pm,Gamelan,149,,Little Bridges
Tues. Dec. 10,7pm,Student Recital,c. 100,,Lyman Hall
Wed. Dec. 11,7pm,Student Recital,73,,Lyman Hall
Dec. 14,,Memorial Service,288,,Little Bridges
"* Orchestra performed with the Inland Pacific Ballet in 3 performances of ""The Nutcracker"" at Bridges Auditorium (Dec. 7 & 8)",,,,,
