Date,Time,Event,Count,Notes,Location
2/6/22,3pm,Celliola,CANCELED,COVID protocols,Bridges Hall of Music
2/11/22,8pm,Ussachevsky 1,CANCELED,COVID protocols,Lyman Hall
2/12/22,3pm,Ussachevsky Lect/Demo,CANCELED,COVID protocols,Lyman Hall
2/1/20,8pm,Ussachevsky 2,CANCELED,COVID protocols,Lyman Hall
2/18/22,4pm,Student Recital,CANCELED,COVID protocols,Lyman Hall
2/19/22,8pm,Sr. Recital - K. Burgstahler,119,,Lyman Hall
2/20/22,3pm,Sr. Recital - A. Zhao,94,,Bridges Hall of Music
2/25/22,8pm,PCO,218,,Bridges Hall of Music
2/27/22,3pm,PCO,221,,Bridges Hall of Music
3/2/22,7:30pm,Student Recital,53,,Lyman Hall
3/8/22,4:30pm,Jazz Ens. & Combos,c.230,,Bridges Hall of Music front patio
3/27/22,3pm,Fête musicale ,123,,Bridges Hall of Music
3/30/22,7:30pm,Student Recital,29,,Lyman Hall
4/1/22,8pm,Sr. Recital - S. Uehara,88,,Lyman Hall
4/2/22,8pm,Piano Ensemble,65,,Lyman Hall
4/3/22,5pm,Sr. Recital - I. Shapiro,34,,Lyman Hall
4/10/22,3pm,Sr. Proj. - E Tallman & D. Jin,29,,Lyman Hall
4/15/22,8pm,PCO & PCC,231,"TICKETED-seating limited on floor,balcony open",Bridges Hall of Music
4/17/22,3pm,PCO & PCC,223,Easter,Bridges Hall of Music
4/20/22,7:30pm,Student Recital,50,,Lyman Hall
4/22/22,8pm,PC Band,95,,Bridges Hall of Music front patio
4/24/22,3pm,PC Band,122,,Bridges Hall of Music front patio
4/25/22,8pm,Afro-Cuban,78,,Bridges Hall of Music
4/28/22,8pm,Glee,158,,Bridges Hall of Music
4/29/22,8pm,Jazz,351,,Bridges Hall of Music
4/30/22,1:30pm,Glee,289,,Bridges Hall of Music
5/1/22,3pm,Student String Qtet (Honey),84,,Lyman Hall
5/2/22,8pm,Gamelan,143,,Bridges Hall of Music
5/3/22,7pm,Student Recital,105,moved due to orchestral strings & winds perf.,Bridges Hall of Music
5/4/22,7pm,Student Recital,59,,Lyman Hall
5/13/22,,Glee Sat. pre-com. program,no count,,Bridges Hall of Music
5/16/22,,Glee Tour- Santa Barbara,35,,Unitarian Society of Santa Barbara
5/20/22,,Glee Tour- Benton Museum,95,,Benton Museum-Pomona College
5/22/22,,Glee Tour- Palm Desert,69,,The Artists Council's Artists Center at the Galen
5/18/22,,Glee Tour- Getty,unknown,Pop-up Performance in Entry Pavilion,The Getty Center
