Date,Time,Event,Count,Notes,Location,Reception Notes
9/11/22,3pm,Celliola,132,,Bridges Hall of Music,n/a
9/18/22,3pm,Fête musicale ,97,,Bridges Hall of Music,n/a
9/24/22,8pm,Manzanita,155,,Bridges Hall of Music,n/a
10/2/22,3pm,Lee & Friends,176,,Bridges Hall of Music,n/a
10/7/22,8pm,Orchestra,223,,Bridges Hall of Music,n/a
10/9/22,3pm,Orchestra,244,,Bridges Hall of Music,n/a
10/12/22,7:30pm,Student Recital,--,cancelled-lack of student apps,Lyman Hall,n/a
10/19/22,4:30pm,Adean Ayamara Band,54,in conjunction w/Oldenborg,Lyman Hall,they handled outdoors
10/21/22,8pm,Givens & Cheng,94,,Bridges Hall of Music,n/a
10/23/22,3pm,Ciaramella,179,,Bridges Hall of Music,n/a
10/28/22,7:30pm,Student Recital,39,,Lyman Hall,n/a
10/30/22,3pm,Peterson,133,,Bridges Hall of Music,n/a
11/4/22,4pm,Hoseth-Sr. Project,75,,Lyman Hall,Lots of leftovers
11/5/22,8pm,Larget-Caplan,172,,Bridges Hall of Music,n/a
11/11/22,8pm,Band,107,,Bridges Hall of Music,n/a
11/13/22,3pm,Band,148,,Bridges Hall of Music,n/a
11/15/22,4:30,Jazz,251,,Lyman Hall,n/a
11/16/22,7:30pm,Student Recital,54,,Lyman Hall,n/a
11/17/22,12:15pm,Cornucopia - FNC,99,,Lyman Hall,n/a
11/18/22,8pm,Orchestra,189,,Bridges Hall of Music,n/a
11/20/22,3pm,Orchestra,244,,Bridges Hall of Music,n/a
11/28/22,8pm,West African,166,,Lyman Hall,n/a
12/2/22,8pm,PC Choir,222,,Bridges Hall of Music,n/a
12/4/22,3pm,PC Choir,290,,Bridges Hall of Music,n/a
12/5/22,8pm,Gamelan,155,,Bridges Hall of Music,n/a
12/6/22,7pm,Student Recital,34,,Lyman Hall,n/a
12/7/22,7pm,Student Recital,40,,Lyman Hall,n/a
,,,,,,
Day/Date,Time,Event,Count,Notes,Location,Reception Notes
1/28/23,,Tranquada Memoria,168,,Bridges Hall of Music,
2/3/23,8pm,Ussachevsky,65,,Lyman Hall,
2/4/23,8pm,Ussachevsky,97,,Lyman Hall,
2/11/23,8pm,Wm. C. Nyaho,147,,Bridges Hall of Music,
2/15/23,7:30pm,Student Recital,10,,Lyman Hall,n/a
2/19/23,3pm,Fête musicale ,129,,Bridges Hall of Music,
4/2/23,3pm,S. Wang Sr. Proj,20,,Lyman Hall,
2/24/23,8pm,Orchestra,202,,Bridges Hall of Music,n/a
2/26/23,3pm,Orchestra,255,,Bridges Hall of Music,n/a
3/3/23,4pm,Student Recital,29,,Lyman Hall,n/a
3/5/23,3pm,M. Givens,132,,Bridges Hall of Music,
3/7/23,4:30pm,Jazz,230,,Lyman Hall,n/a
3/8/23,4:30pm,M. Goodwin Sr Proj,15,,Lyman Hall,
3/24/23,12:30pm,Cornucopia - FNC,90,,Lyman Hall,n/a
3/25/23,8pm,Thornblade/Lee,174,,Bridges Hall of Music,
3/26/23,3pm,Wm Peterson & C Robertson,144,,Bridges Hall of Music,
3/29/23,7:30pm,Student Recital,37,,Lyman Hall,n/a
4/7/23,4pm,R. Falzon Sr Proj,34,,Lyman Hall,
4/8/23,8pm,J. Rockwell,133,,Lyman Hall,
4/7/23,7:47,Lee Studio Recital,53,,,
4/12/23,7:30pm,Student Recital,44,,Lyman Hall,n/a
4/14/23,8pm,Orchestra & Choir,352,,Bridges Hall of Music,
4/15/23,8pm,UCSB Middle East Ens.,155,,Lyman Hall,n/a
4/16/23,3pm,Orchestra & Choir,missing,,Bridges Hall of Music,
4/21/23,8pm,Band,missing,,Bridges Hall of Music,n/a
4/23/23,3pm,Band,89,,Bridges Hall of Music,n/a
4/24/23,8pm,Afro-Cuban,84,,Lyman Hall,n/a
4/27/23,8pm,Glee Club,304,,Bridges Hall of Music,n/a
4/28/23,afternoon,K. Supové,84,Alumni Weekend,Lyman Hall,n/a
4/28/23,8pm,Jazz Ensemble,425,Alumni Weekend,Bridges Hall of Music,n/a
4/29/23,1:30pm,Glee Club,425,Alumni Weekend,Bridges Hall of Music,n/a
5/1/23,8pm,Gamelan,missing,,Bridges Hall of Music,n/a
5/2/23,7pm,Student Recital,48,,Lyman Hall,n/a
5/3/23,7pm,Student Recital,62,,Lyman Hall,n/a
,,,,,,
Glee:,London,St. James' Piccadilly,180,,,
,Cambridge,Trinity College Chapel Service,unable to count,,,
,York,St. Michael Le Belfry,85,,,
,Durham,Durham Cathedral,75,,,
,St. Andrews,Holy Trinity,90,,,
,Edinburgh,St. Giles,150,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
