Date,Time,Event,Count,Notes,Location
Sun Sept 19,3:00 PM,Celliola,167,ran out of programs (200 0rdered),Little Bridges
Sat. Sept. 25,4:00 PM,D. Alexander Memorial,306,,Little Bridges
Sun. Sept 26,3:00 PM,Cornucopia,135,107º outside,Little Bridges
Sat. Oct 2,8:00 PM,G. Lee,209,,Little Bridges
Sun. Oct 3,3:00 PM,"Pelev, Ko, Ashcraft",154,time confusion w/8pm noted CUC cal,Little Bridges
Sat. Oct. 9,8:00 PM,PC Orch w/J. Sanders,328,,Little Bridges
Sun. Oct 10,3:00 PM,PC Orch w/J. Sanders,231,time confusion w/8pm noted CUC cal,Little Bridges
Tues. Oct. 12 ,8:00 PM,Anonymous 4,415,count approx. due to early rush,Little Bridges
Wed. Oct 27,8:15 PM,Student Recital,60,approx. count,Lyman Hall
Sat. Oct. 30,8:00 PM,"Hogle Brown, Graff, Kirchner",154,ran out of programs (150 0rdered),Little Bridges
Sun. Oct 31,3:00 PM,"Beck, Lee, Kohn",110,ran out of programs (100 0rdered),Little Bridges
Mon. Nov. 1,4:00 PM,Çudamani L/Demo,45,,Lyman Hall
Fri. Nov. 5,8:00 PM,Bacon Jr. Recital,50,,Lyman Hall
Sun. Nov. 7,3:00 PM,Parmentier,195,ran out of programs (150 0rdered),Little Bridges
Fri. Nov. 12,7:00 PM,Los Pleneros,--,not a part of our series,Smith Campus Center
Sat. Nov. 13,8:00 PM,Wright/Moss,88,,Little Bridges
Fri. Nov. 19,8:00 PM,PC Band,102,,Little Bridges
Sun. Nov. 21,3:00 PM,PC Band,187,,Little Bridges
Mon. Nov.. 29,8:00 PM,Afro-Cuban Drumming Ens,104,,Lyman Hall
Fri. Dec. 3,8:00 PM,PC Choir,275,,Little Bridges
Sat. Dec. 4,8:00 PM,PC Orchestra,no count,,Garrison
Sun. Dec. 5,3:00 PM,PC Choir,308,,Little Bridges
Sun. Dec. 5,8:00 PM,PC Orchestra,125~,rainy - est. count,Garrison
Mon. Dec. 6,8:00 PM,PC Gamelan,105,,Little Bridges
Tues. Dec. 7,7:00 PM,Student Recital,no count,,
Wed. Dec. 8,7:00 PM,Student Recital,no count,,
,,,,,
Fri. Feb. 4,8:00 PM,Ussachevsky - Fri,100,,Lyman Hall
Sat. Feb. 5,4:00 PM,Ussachevsky - Sat Lecture,70,,Lyman Hall
Sat. Feb. 5,8:00 PM,Ussachevsky - Sat,130,,Lyman Hall
Sat. Feb. 12,8:00 PM,Chinyakara,128,,Little Bridges
Sun. Feb. 13,5:00 PM,Schoenberg lecture,32,,Lyman Hall
Sun. Feb. 13,7:00 PM,Blankenburg/Formalist Stg Qtet,79,,Little Bridges
Sat. Feb. 19,8:00 PM,Kohn + Kohn,309,Family Wkend,Little Bridges
Sun. Feb. 20,3:00 PM,Lytle & Lee,130,Family Wkend,Little Bridges
Fri. Feb. 25,8:00 PM,Orchestra,226,rainy,Little Bridges
Sun. Feb. 27,3:00 PM,Orchestra,263,Academy Awards,Little Bridges
Sun. Mar 6,3:00 PM,East Meets West - Lee,203,,Little Bridges
Sat. Mar 26,8:00 PM,Sayles Sr. Recital,104,,Little Bridges
Sun. Mar 27,3:00 PM,Peterson,Cancelled,,Little Bridges
Fr. April 1,8:00 PM,Nitzan & Henderson Jr. Recital,??,,Lyman Hall
Sat. April 2,8:00 PM,McIntosh & Blankenburg,87,,Little Bridges
Sun. April 3,3:00 PM,Humphrey Sr. Recital,77,,Little Bridges
Fri. April 8,8:00 PM,LA Opera Young Artists,131,,Lyman Hall
Fri. April 15,8:00 PM,Verdi Requiem,444,,Little Bridges
Sat. April 16,8:00 PM,Luo Sr. Recital,60,,Lyman Hall
Sun. April 17,3:00 PM,Verdi Requiem,541,,Little Bridges
Wed. April 20,8:15 PM,Student Recital,,,Lyman Hall
Fri. April 22,8:00 PM,"Cello, Piano & Marimba",86,,Little Bridges
Sat. April 23,8:00 PM,Nguyen / Prunty Sr. Recital,80,,Lyman Hall
Mon. April 25,8:15 PM,Afro-Cuban,125,,Lyman Hall
Tues. April 26,4:30 PM,Jazz Ens.,50,,Lyman Hall
Tues. April 26,8:30 PM,Cello Ensemble,140,ran out of programs!`,Lyman Hall
Wed. April 27,7:00 PM,Mbira Ensemble,78,,Lyman Hall
Thurs. April 28,8:00 PM,Glee Club,128,,Little Bridges
Sat. April 30,11:15 AM,Band,261,,Little Bridges
Sat. April 30,1:30 PM,Glee Club,378,,Little Bridges
Sun. May 1,8:00 PM,Band,85,,Little Bridges
Mon. May 2,8:00 PM,Gamelan,152,,Little Bridges
Tues. May 3,7:00 PM,Student Recital,,,Lyman Hall
Wed. May 4,7:00 PM,Student Recital,,,Lyman Hall
