Date,Time,Event,Count,Notes,Location
2/1/19,8pm,Ussachevsky 1,49,,Lyman Hall
2/2/19,3pm,Ussachevsky Lect/Demo,25,,Lyman Hall
2/2/19,8pm,Ussachevsky 2,63,,Lyman Hall
2/3/19,3pm,"Peterson, organ",197,,Bridges Hall of M
2/6/19,4:15pm,Mongolian Singer (Hargana),153,,
2/15/19,8pm,Fac. Recital-Givens-Family Wkend,197,,Bridges Hall of M
2/20/19,8:15pm,Student Recital,32,,Lyman Hall
2/24/19,8pm,LA Harptette,181,,Bridges Hall of M
3/1/19,8pm,PCO,no count (c.185),cold and rainy,Bridges Hall of M
3/2/19,8pm,"S. Betanzos,  Jr Rec",64,,Lyman Hall
3/3/19,3pm,PCO,254,,Bridges Hall of M
3/6/19,8:15pm,Student Recital,?,,Lyman Hall
3/12/19,4:30pm,Jazz Ens. & Combos,273,standing room only,Lyman Hall
3/13/19,8pm,Rostam,400,Humanities Studio/History,Bridges Hall of M
3/30/19,8pm,J. Taylor Sr. Rec/lect,89,,Lyman Hall
3/31/19,8pm,Brandes & Moe,121,,Bridges Hall of M
4/5/19,8pm,M. Cook Jr. Rec,80,,Lyman Hall
4/7/19,8pm,Crumb/Lee,115,,Bridges Hall of M
4/10/19,8:15pm,Student Recital,62,,Lyman Hall
4/13/19,8pm,"K Guo, Sr. Rec.",83,,Lyman Hall
4/19/19,8pm,PCO & PCC,313,,Bridges Hall of M
4/21/19,3pm,PCO & PCC,458,,Bridges Hall of M
4/26/19,4pm,Student Recital,45,,Lyman Hall
4/28/19,3pm,Blankenburg/Menzies,135,,Bridges Hall of M
4/29/19,8:15pm,Afro-Cuban,100,,Lyman Hall
5/1/19,8pm,Music From China,102,,Lyman Hall
5/2/19,8pm,Glee,167,,Bridges Hall of M
5/3/19,8pm,Jazz w/guest,239,Alumni weekend,Bridges Hall of M
5/4/19,11am,Band,238,Alumni weekend,Bridges Hall of M
5/4/19,1:30pm,Glee,430,Alumni weekend,Bridges Hall of M
5/5/19,3pm,Chamber Mus. Stud.Rec.,55,,Lyman Hall
5/5/19,8pm,Band,91,,Bridges Hall of M
5/6/19,8pm,Gamelan,166,,Bridges Hall of M
5/7/19,7pm,Student Recital,58,,Lyman Hall
5/8/19,7pm,Student Recital,77,,Lyman Hall
5/18/19,,Glee Sat. pre-com. program,169,,Bridges Hall of M
5/22/19,7:45pm,Glee Tour-NYC,125,c. 66 alumni,St. Ignatius of Antioch
5/23/19,7:30pm,Glee Tour-Wayne,110,c. 6 alumni; Peter Brown's church,St. David's Episcopal
5/25/19,7:30pm,Glee Tour-Philadelphia,40,c. 7 alumni,Church of the Holy Trinity
5/26/19,3:25pm,Glee Tour-DC,165,c. 25 alumni; Choral Prelude to Evensong,Washington National Cathedral
5/28/19,8pm,Glee Tour-Williamsburg,73,c. 3 alumni; Candlelight Concert series,Bruton Parish
5/29/19,7pm,Glee Tour-Springfield,155,c. 8 alumni; Matthew Cook's church,Messiah United Meth. Church
