Date,Time,Event,Count,Notes,Location
1/28/23,,Tranquada Memoria,168,,Bridges Hall of Music
2/3/23,8pm,Ussachevsky,65,,Lyman Hall
2/4/23,8pm,Ussachevsky,97,,Lyman Hall
2/11/23,8pm,Wm. C. Nyaho,147,,Bridges Hall of Music
2/15/23,7:30pm,Student Recital,10,,Lyman Hall
2/19/23,3pm,Fête musicale ,129,,Bridges Hall of Music
4/2/23,3pm,S. Wang Sr. Proj,20,,Lyman Hall
2/24/23,8pm,Orchestra,202,,Bridges Hall of Music
2/26/23,3pm,Orchestra,255,,Bridges Hall of Music
3/3/23,4pm,Student Recital,29,,Lyman Hall
3/5/23,3pm,M. Givens,132,,Bridges Hall of Music
3/7/23,4:30pm,Jazz,230,,Lyman Hall
3/8/23,4:30pm,M. Goodwin Sr Proj,15,,Lyman Hall
3/24/23,12:30pm,Cornucopia - FNC,90,,Lyman Hall
3/25/23,8pm,Thornblade/Lee,174,,Bridges Hall of Music
3/26/23,3pm,Wm Peterson & C Robertson,144,,Bridges Hall of Music
3/29/23,7:30pm,Student Recital,37,,Lyman Hall
4/7/23,4pm,R. Falzon Sr Proj,34,,Lyman Hall
4/8/23,8pm,J. Rockwell,133,,Lyman Hall
4/7/23,7:47,Lee Studio Recital,53,,
4/12/23,7:30pm,Student Recital,44,,Lyman Hall
4/14/23,8pm,Orchestra & Choir,352,,Bridges Hall of Music
4/15/23,8pm,UCSB Middle East Ens.,155,,Lyman Hall
4/16/23,3pm,Orchestra & Choir,missing,,Bridges Hall of Music
4/21/23,8pm,Band,missing,,Bridges Hall of Music
4/23/23,3pm,Band,89,,Bridges Hall of Music
4/24/23,8pm,Afro-Cuban,84,,Lyman Hall
4/27/23,8pm,Glee Club,304,,Bridges Hall of Music
4/28/23,afternoon,K. Supové,84,Alumni Weekend,Lyman Hall
4/28/23,8pm,Jazz Ensemble,425,Alumni Weekend,Bridges Hall of Music
4/29/23,1:30pm,Glee Club,425,Alumni Weekend,Bridges Hall of Music
5/1/23,8pm,Gamelan,missing,,Bridges Hall of Music
5/2/23,7pm,Student Recital,48,,Lyman Hall
5/3/23,7pm,Student Recital,62,,Lyman Hall
,,,,,
Glee:,London,St. James' Piccadilly,180,,
,Cambridge,Trinity College Chapel Service,unable to count,,
,York,St. Michael Le Belfry,85,,
,Durham,Durham Cathedral,75,,
,St. Andrews,Holy Trinity,90,,
,Edinburgh,St. Giles,150,,
