Date,Time,Event,Count,Notes,Location
Sun. Aug. 28,evening,First Yr Book,630,,Little Bridges
Tues. Aug. 30,11:00 AM,Convocation,664,FULL HOUSE!,Little Bridges
Sun. Sept. 11,3pm,Celliola,179,,Little Bridges
Fri. Sept. 23,8pm,Brentano,289,,Little Bridges
Sun. Sept. 25,3pm,Chamber Music Ext,238,,Little Bridges
Sat. Oct. 1,10:30am,Lee Children's Concert,21/28,20 capacity by reservation,Little Bridges
Sat. Oct. 1,8pm,Lee Recital,242,,Little Bridges
Fri. Oct. 7,8pm,PCO,262,counter acting up,Little Bridges
Sat. Oct. 8,3pm ,Kwok Memorial,513,counter acting up,Little Bridges
Sun. Oct. 9,3pm,PCO,340,counter acting up,Little Bridges
Wed. Oct. 12,4:15pm,Merengue,59,,Lyman Hall
Sat. Oct. 22,8pm,Kohn at 90,226,,Little Bridges
Wed. Oct. 26,8:15pm,Student Recital,58,,Lyman Hall
Sat. Oct. 29,8pm,Kallay,67,,Little Bridges
Sun. Oct. 30,3pm,Jung Trio,224,,Little Bridges
Sat. Nov. 5,8pm,Cascade of Pianos,338,I believe we were low on our count,Little Bridges
Sun. Nov. 6,3pm,Modern Trio Sonata,113,,Little Bridges
Fri. Nov. 11,4pm,Student Recital,42,,Lyman Hall
Fri. Nov. 11,8pm,Band,163,,Little Bridges
Sun. Nov. 13,3pm,Band,170,,Little Bridges
Fri. Nov. 18,8pm,PCO,282,,Little Bridges
Sun. Nov. 20,3pm,PCO,298,,Little Bridges
Tues. Nov. 22,4:30pm,Jazz,256,,Lyman Hall
Mon. Nov. 28,8pm,West African,126,,Lyman Hall
Wed. Nov. 30,8pm,Student Recital,unknown,,Lyman Hall
Fri. Dec. 2,8pm,PCC,332,,Little Bridges
Sat. Dec. 3,,Clark Memorial,120,,Little Bridges
Sun. Dec. 4,3pm,PCC,361,,Little Bridges
Mon. Dec. 5,8pm,Gamelan,244,,Little Bridges
Tues. Dec. 6,7pm,Student Recital,45,,Lyman Hall
Wed. Dec. 7,7pm,Student Recital,27,,Lyman Hall
