Date,Time,Event,Count,Notes,Location
Sat. Jan. 27,8pm,Brandes/Moe,cancelled - illness,,Bridges Hall of M
Fri. Feb. 2,8pm,Ussachevsky 1,82,,Lyman Hall
Sat. Feb. 3,3pm,Ussachevsky Lect/Demo,29,,Lyman Hall
Sat. Feb. 3,8pm,Ussachevsky 2,98,,Lyman Hall
Fri. Feb. 11,12:30pm,Givens – candidate concert,22,,Bridges Hall of M
Fri. Feb. 11,8pm,Wright/Moss,129,,Bridges Hall of M
Sun. Feb. 9,3pm,"Peterson, organ",202,,Bridges Hall of M
Wed. Feb. 14,8:15pm,Student Recital,48,,Lyman Hall
Fri. Feb. 16,8pm,Fac. Recital-Family Wkend,213,,Bridges Hall of M
Mon. Feb. 19,4:15pm,Gamelan Cudamani_MC,--,,Bryant
Fri. Feb. 23,8pm,PCO,211,,Bridges Hall of M
Sat. Feb. 24,8pm,Mariachi,382,,
Sun. Feb. 25,3pm,PCO,306,,Bridges Hall of M
Sum. Mar. 4,3pm,Fac. Chamber Recital,171,,Bridges Hall of M
Tues. Mar. 6,4:30pm,Jazz Ens. & Combos,197,,Lyman Hall
Wed. Mar. 7,8:15pm,Student Recital,no count,,Lyman Hall
Fri. Mar. 23,8pm,Sr. Recital-Brether/Wolbert,62,,Lyman Hall
Sat. Mar. 24,8pm,Sr. Recital: Saylor/Curtis,92,,Lyman Hall
Wed. Mar. 29,8:15pm,Student Recital,59,,Lyman Hall
Fri. Mar. 30,8pm,Sr. Recital-Curtis/Ponomareva,74,,Lyman Hall
Sat. Mar. 31,8pm,Sr. Recital: Melling/Sano/Taylor/Sun,120,,Lyman Hall
Wed. April 4,8:15pm,Student Recital,60,,Lyman Hall
Fri. April 6,8pm,Piano Ensemble,88,,Lyman Hall
Sun. April 8,3pm,Cornucopia,163,,Lyman Hall
Fri. April 13,8pm,PCO & PCC,355,,Bridges Hall of M
Sun. April 15,3pm,PCO & PCC,476,,Bridges Hall of M
Tues. April 17,8pm,Student Recital,31,,Lyman Hall
Sat. April 21,8pm,Sr. Recital-Cooper/Meadors/Iliakis,88,,Lyman Hall
Mon. Aprl 23,8:15pm,Afro-Cuban,118,,Lyman Hall
Thurs. April 26,8pm,Glee,191,,Bridges Hall of M
Fri. April 27,8pm,Jazz w/guest,309,Alumni Weekend,Bridges Hall of M
Sat. April 28,11am,Band,197,Alumni Weekend,Bridges Hall of M
Sat. April 28,1:30pm,Glee,392,Alumni Weekend,Bridges Hall of M
Sun. April 29,8pm,Band,102,,Bridges Hall of M
Mon. April 30,8pm,Gamelan,103,,Bridges Hall of M
Tues. May 1,7pm,Student Recital,59,,Lyman Hall
Wed. May 2,7pm,Student Recital,51,,Lyman Hall
Tues. May 15,7:30pm,Glee Tour,45,Santa Barbara,Trinity Episcopal Church
Wed. May 16,7pm,Glee Tour,75,Ventura,St. Paul's Episcopal
Fri. May 18,8pm,Glee Tour,85,Los Angeles,St. John's Cathedral 
**Thurs. May 17,2pm,Glee Tour,unknown,"Skid Row, Los Angeles",The Midnight Mission
