Date,Time,Event,Count,Notes,Location,Reception Notes
9/4/18,11:00 AM,Convocation,558,full except for a few seats we couldn’t access during the event and there was no overflow,Little Bridges,
9/17/18,3pm,Celliola,158,,Little Bridges,held his own at his house
,eve,Book lecture,x,,Little Bridges,
9/26/18,4:15pm,M. Chingodza,,,Lyman Hall,
9/27/18,4:15pm,Chen - Improv Wkshop,,,Lyman Hall,
9/28/18,8pm,"Cage ""Electronic Music…""",239,,Little Bridges,
10/7/18,3pm,Chamber Music Extrav,244,,Little Bridges,
10/12/18,12:15pm,FNC-Lee&Parkins,191,,Lyman Hall,
10/12/18,8pm,PCO,306,,Little Bridges,
10/14/18,3pm ,PCO,274,,Little Bridges,
10/17/18,8:15pm,Student Recital,no count,,Lyman Hall,
10/28/18,3pm,London Handel Players,325,,Little Bridges,
10/29/18,4:15pm,Baroque Dance L/D,100,,Lyman Hall,
10/31/18,8:15pm,Student Recital,52,,Lyman Hall,
11/2/18,12:15pm,FNC-Theoboux&K. Lee,cancelled,,Lyman Hall,
11/4/18,3pm,Bernstein,298,,Little Bridges,
11/9/18,12:15pm,FNC-Cornucopia,171,,Lyman Hall,
11/10/18,8pm,Acs/Dubon Jr Recital,24,,Lyman Hall,
11/16/18,4pm,Student Recital,22,,Lyman Hall,
11/16/18,8pm,Band,126,,Little Bridges,
11/18/18,3pm,Band,185,,Little Bridges,
11/20/18,4:30pm,Jazz,235,full capacity w/ partial front row unavailable                 with hallway standers up to 48,Lyman Hall,
11/30/18,8pm,PCC,385,,Little Bridges,
12/2/18,3pm,PCC,438,ran out of programs,Little Bridges,
12/3/18,8pm,West African,150,,Lyman Hall,
12/5/18,7pm,Student Recital,,,Lyman Hall,
12/7/18,8pm,PCO,271,,Little Bridges,
12/9/18,3pm,PCO,272,,Little Bridges,
12/10/18,8pm,Gamelan,150,,Little Bridges,
12/11/18,7pm,Student Recital,28,,Lyman Hall,
12/12/18,7pm,Student Recital,31,,Lyman Hall,
,,,,,,
,,,,,,
2/1/19,8pm,Ussachevsky 1,49,,Lyman Hall,
2/2/19,3pm,Ussachevsky Lect/Demo,25,,Lyman Hall,
2/2/19,8pm,Ussachevsky 2,63,,Lyman Hall,
2/3/19,3pm,"Peterson, organ",197,,Bridges Hall of M,
2/6/19,4:15pm,Mongolian Singer (Hargana),153,,,
2/15/19,8pm,Fac. Recital-Givens-Family Wkend,197,,Bridges Hall of M,
2/20/19,8:15pm,Student Recital,32,,Lyman Hall,
2/24/19,8pm,LA Harptette,181,,Bridges Hall of M,
3/1/19,8pm,PCO,no count (c.185),cold and rainy,Bridges Hall of M,
3/2/19,8pm,"S. Betanzos,  Jr Rec",64,,Lyman Hall,
3/3/19,3pm,PCO,254,,Bridges Hall of M,
3/6/19,8:15pm,Student Recital,?,,Lyman Hall,
3/12/19,4:30pm,Jazz Ens. & Combos,273,standing room only,Lyman Hall,
3/13/19,8pm,Rostam,400,Humanities Studio/History,Bridges Hall of M,
3/30/19,8pm,J. Taylor Sr. Rec/lect,89,,Lyman Hall,
3/31/19,8pm,Brandes & Moe,121,,Bridges Hall of M,
4/5/19,8pm,M. Cook Jr. Rec,80,,Lyman Hall,
4/7/19,8pm,Crumb/Lee,115,,Bridges Hall of M,
4/10/19,8:15pm,Student Recital,62,,Lyman Hall,
4/13/19,8pm,"K Guo, Sr. Rec.",83,,Lyman Hall,
4/19/19,8pm,PCO & PCC,313,,Bridges Hall of M,
4/21/19,3pm,PCO & PCC,458,,Bridges Hall of M,
4/26/19,4pm,Student Recital,45,,Lyman Hall,
4/28/19,3pm,Blankenburg/Menzies,135,,Bridges Hall of M,
4/29/19,8:15pm,Afro-Cuban,100,,Lyman Hall,
5/1/19,8pm,Music From China,102,,Lyman Hall,
5/2/19,8pm,Glee,167,,Bridges Hall of M,
5/3/19,8pm,Jazz w/guest,239,Alumni weekend,Bridges Hall of M,
5/4/19,11am,Band,238,Alumni weekend,Bridges Hall of M,
5/4/19,1:30pm,Glee,430,Alumni weekend,Bridges Hall of M,
5/5/19,3pm,Chamber Mus. Stud.Rec.,55,,Lyman Hall,
5/5/19,8pm,Band,91,,Bridges Hall of M,
5/6/19,8pm,Gamelan,166,,Bridges Hall of M,
5/7/19,7pm,Student Recital,58,,Lyman Hall,
5/8/19,7pm,Student Recital,77,,Lyman Hall,
5/18/19,,Glee Sat. pre-com. program,169,,Bridges Hall of M,
5/22/19,7:45pm,Glee Tour-NYC,125,c. 66 alumni,St. Ignatius of Antioch,
5/23/19,7:30pm,Glee Tour-Wayne,110,c. 6 alumni; Peter Brown's church,St. David's Episcopal,
5/25/19,7:30pm,Glee Tour-Philadelphia,40,c. 7 alumni,Church of the Holy Trinity,
5/26/19,3:25pm,Glee Tour-DC,165,c. 25 alumni; Choral Prelude to Evensong,Washington National Cathedral,
5/28/19,8pm,Glee Tour-Williamsburg,73,c. 3 alumni; Candlelight Concert series,Bruton Parish,
5/29/19,7pm,Glee Tour-Springfield,155,c. 8 alumni; Matthew Cook's church,Messiah United Meth. Church,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
