Date,Time,Event,Count,Notes,Location
9/4/18,11:00 AM,Convocation,558,full except for a few seats we couldn’t access during the event and there was no overflow,Little Bridges
9/17/18,3pm,Celliola,158,,Little Bridges
,eve,Book lecture,x,,Little Bridges
9/26/18,4:15pm,M. Chingodza,,,Lyman Hall
9/27/18,4:15pm,Chen - Improv Wkshop,,,Lyman Hall
9/28/18,8pm,"Cage ""Electronic Music…""",239,,Little Bridges
10/7/18,3pm,Chamber Music Extrav,244,,Little Bridges
10/12/18,12:15pm,FNC-Lee&Parkins,191,,Lyman Hall
10/12/18,8pm,PCO,306,,Little Bridges
10/14/18,3pm ,PCO,274,,Little Bridges
10/17/18,8:15pm,Student Recital,no count,,Lyman Hall
10/28/18,3pm,London Handel Players,325,,Little Bridges
10/29/18,4:15pm,Baroque Dance L/D,100,,Lyman Hall
10/31/18,8:15pm,Student Recital,52,,Lyman Hall
11/2/18,12:15pm,FNC-Theoboux&K. Lee,cancelled,,Lyman Hall
11/4/18,3pm,Bernstein,298,,Little Bridges
11/9/18,12:15pm,FNC-Cornucopia,171,,Lyman Hall
11/10/18,8pm,Acs/Dubon Jr Recital,24,,Lyman Hall
11/16/18,4pm,Student Recital,22,,Lyman Hall
11/16/18,8pm,Band,126,,Little Bridges
11/18/18,3pm,Band,185,,Little Bridges
11/20/18,4:30pm,Jazz,235,full capacity w/ partial front row unavailable                 with hallway standers up to 48,Lyman Hall
11/30/18,8pm,PCC,385,,Little Bridges
12/2/18,3pm,PCC,438,ran out of programs,Little Bridges
12/3/18,8pm,West African,150,,Lyman Hall
12/5/18,7pm,Student Recital,,,Lyman Hall
12/7/18,8pm,PCO,271,,Little Bridges
12/9/18,3pm,PCO,272,,Little Bridges
12/10/18,8pm,Gamelan,150,,Little Bridges
12/11/18,7pm,Student Recital,28,,Lyman Hall
12/12/18,7pm,Student Recital,31,,Lyman Hall
