Day/Date,Time,Event,Count,Notes,Location
Sun. 9-15,3pm,Celliola,125,,Little Bridges
Sat. 9-21,8pm,Lee - solo,225,,Little Bridges
Sun. 9-29,3pm,"D. Cleveland, guest organist",142,(40@reception),Little Bridges
Sat. Oct. 5,8pm,Garth Newel Quartet,129,c. 45@reception,Little Bridges
Sat. Oct. 12,8pm,Orchestra w/G. Lytle,294,,Little Bridges
Sun. Oct. 13,3pm,Orchestra w/G. Lytle,261,555,Little Bridges
Fri. Oct. 25,8pm,Baroque Masters Kim & Lee,189,c. 52 @ reception,Little Bridges
Sun. Oct. 27,8pm,Millennium Consort Singers,212 + PCC 65,c. 100 @ reception,Little Bridges
Wed. Oct 30,8:15pm,Student Recital,71,,Lyman Hall
Sat. Nov. 2,8pm,Middle East Ensemble,252,,Little Bridges
Fri. Nov. 22,8pm,Band,80,,Little Bridges
Sat. Nov. 23,8pm,Jazz Ens,220,,Lyman Hall
Sun. Nov. 27,3pm,Band,190,,Little Bridges
Mon. Dec. 2,8pm,Afro-Cuban Drumming,75,,Lyman Hall
Wed. Dec. 4,8pm,Sea Chanty,138,,Lyman Hall
Fri. Dec. 6,8pm,PCC,280,,Little Bridges
Sun. Dec. 8,3pm,PCC,234,,Little Bridges
Mon. Dec. 9,8pm,Gamelan,149,,Little Bridges
Tues. Dec. 10,7pm,Student Recital,c. 100,,Lyman Hall
Wed. Dec. 11,7pm,Student Recital,73,,Lyman Hall
Dec. 14,,Memorial Service,288,,Little Bridges
"* Orchestra performed with the Inland Pacific Ballet in 3 performances of ""The Nutcracker"" at Bridges Auditorium (Dec. 7 & 8)",,,,,
,,,,,
Fri. Jan 31,8pm,van Zyl - guest pianist,152,,Little Bridges
Sat. Feb. 1,8pm,Chatham Baroque,147,extra reception food,Little Bridges
Sun. Feb. 2,3pm,Thornblade & Ray,62,,Little Bridges
Tues. Feb. 4,,Convocation,458,,Little Bridges
Sat. Feb. 8,4pm,Ussachevsky-lecture/demo,?,,Lyman Hall
Sat. Feb. 8,8pm,Ussachevsky-concert,76,looked bigger,Lyman Hall
Sun. Feb. 9,3pm,Organist Alan Lewis,169,food good a recpt.,Little Bridges
Sat. Feb. 15,8pm,Guitar Extravaganza,275,no reception,Little Bridges
Fri. Feb. 28,8pm,Orchestra - Concerto winner,260,no reception,Little Bridges
Sat. Mar. 1,8pm,Blankenburg/Cook,95,no reception,Little Bridges
Sun. Mar 2,3pm,Orchestra - Concerto winner,306,no reception,Little Bridges
Wed. Mar 5,8:15pm,Student Recital,?,,Lyman Hall
Sat. Mar. 8,8pm,"Roger Sheu, Sr. Recital",95,,Little Bridges
Tues. Mar. 11,4:30pm,Jazz Ensemble,c. 45,,Lyman Hall
Sun. Mar. 30,8pm,Copland - Seymour concert,209,no reception,Little Bridges
Wed. April 2,8:15pm,Student Recital,50,no reception,Lyman Hall
Fri. April 4,8pm,Appleton Sr. Recital,35,,Lyman Hall
Sat. April 5,8pm,Chang Sr. Recital,?,,Lyman Hall
Sun. April 6,2pm,Monson Pre-concert lecture,50,,Lyman Hall
Sun. April 6,3pm,Performing the Sacred,200,Food inhaled @ rec.,Little Bridges
Fri. April 18,8pm,Choir/Orchestra - Berlioz Req.,375,Good Fri,Little Bridges
Sun. April 20,3pm,Choir/Orchestra - Berlioz Req.,420,Easter Sun.,Little Bridges
Fri. April 25,8pm,Evarkiou-Kaku Sr. Recital,37,,Little Bridges
Sat. April 26,8pm,Browne/Wayment-Steele Jr. Recital,58,,Lyman Hall
Sun. April 27,3pm,"Gwendolyn Lytle w/Rockwell, Blankenburg & Cramer",88,,Little Bridges
Mon. April 28,8:15pm,Afro-Cuban Drumming,84,,Lyman Hall
Wed. April 30,8pm,Sea Chanty Ens.,160,,Lyman Hall
Thurs. May 1,8pm,Glee Club,100,,Little Bridges
Fri. May 2,8pm,Jazz Ensemble,140,,Lyman Hall
Sat. May 3,11:30 AM,Band,221,Alumni Weekend,Little Bridges
Sat. May 3,1:30pm,Glee Club,359,Alumni Weekend,Little Bridges
Sun. May 4,8pm,Band,90,,Little Bridges
Mon. May 5,8pm,Gamelan,160,,Little Bridges
Tues. May 6,7pm,Student Recital,unknown,,Lyman Hall
Wed. May 7,7pm,Student Recital,unknown,,Lyman Hall
